title,Ingridients,webLink,Images
Gennaro's classic spaghetti carbonara,"['3 large free-range egg yolks', '40 g Parmesan cheese , plus extra to serve', '1 x 150 g piece of higher-welfare pancetta', '200 g dried spaghetti', '1 clove of garlic', 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/pasta-recipes/gennaro-s-classic-spaghetti-carbonara/,//img.jamieoliver.com/jamieoliver/recipe-database/oldImages/large/1558_1_1436795948.jpg?tr=w-330
A basic recipe for fresh egg pasta,"['6 large free-range eggs', '600 g Tipo 00 flour']",https://www.jamieoliver.com/recipes/pasta-recipes/a-basic-recipe-for-fresh-egg-pasta/,//img.jamieoliver.com/jamieoliver/recipe-database/oldImages/large/5_1_1439294464.jpg?tr=w-330
Super-quick fresh pasta,"['2 large handfuls of plain flour , plus extra for dusting']",https://www.jamieoliver.com/recipes/pasta-recipes/super-quick-fresh-pasta/,https://img.jamieoliver.com/jamieoliver/recipe-database/105104803.jpg?tr=w-330
Scruffy aubergine lasagne,"['3 large aubergines , (400g each)', '3 onions', '6 cloves of garlic', '1 bunch of fresh sage , (30g)', 'olive oil', '1 teaspoon dried chilli flakes', '1 lemon', '2 x 400 g tins of quality plum tomatoes', '80 g mature Cheddar cheese', '80 g Parmesan cheese', '300 g fresh lasagne sheets', '50 g blanched almonds']",https://www.jamieoliver.com/recipes/pasta-recipes/scruffy-aubergine-lasagne/,https://img.jamieoliver.com/jamieoliver/recipe-database/92507808.jpg?tr=w-330
Meatballs &  pasta,"[""12 Jacob's cream crackers"", '4 sprigs of fresh rosemary', '2 heaped teaspoons Dijon mustard', '500 g quality minced beef, pork, or a mixture of the two', '1 heaped tablespoon dried oregano', '1 large free-range egg', 'olive oil', '1 bunch of fresh basil', '1 medium onion', '2 cloves of garlic', '½ a fresh or dried red chilli', '2 x 400 g tin of plum tomatoes', '2 tablespoons balsamic vinegar', '400 g dried spaghetti or penne', 'Parmesan cheese']",https://www.jamieoliver.com/recipes/pasta-recipes/meatballs-and-pasta/,//img.jamieoliver.com/jamieoliver/recipe-database/oldImages/large/331_1_1436865256.jpg?tr=w-330
Buddy’s tuna pasta,"['1 leek', '½ a fresh chilli , optional', '1 clove of garlic', '1 x 400 g tin of quality plum tomatoes', '1 x 80 g tin of tuna in spring water , from sustainable sources', '130 g dried spaghetti', '2 sprigs of fresh basil', 'Parmesan cheese , to serve']",https://www.jamieoliver.com/recipes/pasta-recipes/buddy-s-tuna-pasta/,https://img.jamieoliver.com/jamieoliver/recipe-database/123301865.jpg?tr=w-330
Joe Lycett's wild boar ragù,"['1.5 kg higher-welfare wild boar , sinew removed (use a mixture of shoulder, leg and loin)', '4 red onions', '2 carrots', '2 sticks of celery', '5 juniper berries', '5 fresh bay leaves', '1 bottle of Trecciano Chianti red wine', '50 g higher-welfare pancetta or lardo', 'olive oil', '700 g passata', '2 litres organic beef stock', 'Parmesan cheese , optional', 'extra virgin olive oil', 'PASTA DOUGH', '4 large free-range eggs', '2 tablespoons olive oil , plus extra for greasing', '1 kg Tipo 00 flour , plus extra for dusting']",https://www.jamieoliver.com/recipes/ragu-recipes/joe-lycett-s-wild-boar-rag/,https://img.jamieoliver.com/jamieoliver/recipe-database/118092352.jpg?tr=w-330
Whole roasted ricotta pasta,"['1 bunch of fresh oregano , (30g)', '3 cloves of garlic', 'olive oil', 'red wine vinegar', '400 g mixed-colour cherry tomatoes', '1 red pepper', '1 yellow pepper', '1 onion', '2 fresh red chillies', '1 tablespoon baby capers', '250 g quality ricotta cheese', '450 g rigatoni pasta', '30 g Parmesan cheese']",https://www.jamieoliver.com/recipes/pasta-recipes/whole-roasted-ricotta-pasta/,https://img.jamieoliver.com/jamieoliver/recipe-database/117867065.jpg?tr=w-330
Joe Wicks' ravioli alla Napoletana,"['PASTA DOUGH', '600 g Tipo ‘00’ flour , plus extra for dusting', '18 large free-range eggs', 'semolina or rice flour , for dusting', 'RICOTTA & PROSCIUTTO FILLING', '2 slices of higher-welfare prosciutto', '1 lemon', '1 whole nutmeg , for grating', '100 g Parmesan cheese', '250 g Westcombe ricotta', 'QUICK TOMATO SAUCE', '2 cloves of garlic', 'olive oil', '1 teaspoon dried chilli flakes', '1 x 400 g tin of quality cherry tomatoes', '½ a bunch of fresh basil , (15g)', 'LEMON SAUCE', '50 g unsalted butter', '1 lemon', '50 g Parmesan cheese , plus extra for grating', 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/pasta-recipes/joe-wicks-ravioli-alla-napoletana/,https://img.jamieoliver.com/jamieoliver/recipe-database/117461949.jpg?tr=w-330
Creamy prawn linguine,"['150 g dried linguine', '2 cloves of garlic', '160 g raw peeled king prawns , from sustainable sources', '4 rashers of higher-welfare smoked pancetta', 'olive oil', '50 ml Italian red wine', '1 heaped tablespoon mascarpone cheese', '50 g rocket', '10 g Parmesan cheese']",https://www.jamieoliver.com/recipes/pasta-recipes/creamy-prawn-linguine/,https://img.jamieoliver.com/jamieoliver/recipe-database/119338870.jpg?tr=w-330
